iter	Passed	Remaining
0	1	1236
1	2	1218
2	3	1216
3	5	1398
4	7	1434
5	8	1351
6	9	1296
7	11	1386
8	12	1383
9	13	1366
10	15	1351
11	16	1328
12	16	1289
13	18	1283
14	19	1258
15	20	1230
16	22	1316
17	23	1308
18	25	1312
19	26	1298
20	27	1288
21	28	1282
22	29	1263
23	30	1242
24	31	1227
25	32	1210
26	35	1263
27	36	1260
28	37	1249
29	39	1267
30	40	1254
31	41	1242
32	41	1230
33	42	1217
34	43	1212
35	45	1207
36	46	1223
37	48	1218
38	49	1216
39	51	1228
40	52	1230
41	53	1221
42	54	1218
43	55	1208
44	56	1199
45	57	1190
46	58	1180
47	62	1232
48	63	1227
49	64	1228
50	66	1228
51	67	1227
52	68	1219
53	69	1211
54	70	1204
55	71	1197
56	73	1210
57	74	1205
58	75	1199
59	76	1194
60	77	1198
61	79	1201
62	80	1196
63	81	1193
64	82	1191
65	83	1188
66	85	1185
67	86	1185
68	87	1181
69	88	1180
70	89	1177
71	92	1191
72	93	1192
73	94	1187
74	95	1181
75	97	1180
76	98	1185
77	100	1190
78	102	1190
79	104	1205
80	105	1200
81	106	1196
82	107	1188
83	108	1182
84	109	1181
85	110	1175
86	111	1168
87	112	1165
88	113	1166
89	115	1166
90	116	1162
91	117	1156
92	118	1155
93	119	1149
94	119	1142
95	120	1135
96	121	1129
97	122	1123
98	126	1154
99	129	1162
100	130	1161
101	131	1159
102	132	1158
103	136	1177
104	139	1190
105	144	1216
106	148	1240
107	150	1244
108	152	1243
109	153	1241
110	154	1238
111	159	1266
112	161	1266
113	162	1264
114	164	1263
115	167	1273
116	168	1269
117	169	1269
118	171	1266
119	176	1292
120	178	1297
121	179	1292
122	180	1289
123	183	1299
124	186	1305
125	187	1302
126	188	1297
127	190	1294
128	193	1306
129	194	1303
130	196	1306
131	199	1310
132	204	1330
133	205	1326
134	206	1323
135	207	1318
136	208	1314
137	210	1313
138	211	1309
139	212	1305
140	213	1302
141	216	1306
142	218	1311
143	220	1308
144	222	1313
145	224	1314
146	227	1317
147	228	1316
148	230	1315
149	231	1314
150	233	1310
151	235	1314
152	236	1311
153	238	1309
154	239	1305
155	240	1301
156	242	1302
157	243	1297
158	244	1293
159	248	1303
160	249	1297
161	250	1293
162	251	1291
163	253	1291
164	257	1301
165	260	1306
166	261	1304
167	262	1301
168	264	1299
169	266	1299
170	268	1303
171	270	1302
172	271	1300
173	278	1320
174	279	1317
175	280	1314
176	285	1325
177	287	1327
178	288	1323
179	289	1320
180	292	1321
181	299	1345
182	301	1347
183	305	1353
184	307	1354
185	312	1369
186	314	1366
187	315	1361
188	316	1356
189	317	1354
190	322	1366
191	326	1373
192	328	1375
193	332	1381
194	334	1381
195	336	1380
196	338	1378
197	339	1375
198	340	1370
199	341	1366
200	343	1364
201	344	1362
202	346	1361
